package,ondiskversion,source
abind,1.4-8,CRAN (R 4.5.0)
abridge,0.0.0.9001,local
and,0.1.6,CRAN (R 4.5.0)
aod,1.3.3,CRAN (R 4.5.0)
aplore3,0.9,CRAN (R 4.5.0)
arm,1.14-4,CRAN (R 4.5.0)
arpr,0.1.2,CRAN (R 4.5.0)
arsenal,3.6.3,CRAN (R 4.5.0)
AsioHeaders,1.30.2-1,CRAN (R 4.5.0)
askpass,1.2.1,CRAN (R 4.5.0)
assertthat,0.2.1,CRAN (R 4.5.0)
attempt,0.3.1,CRAN (R 4.5.0)
backports,1.5.0,CRAN (R 4.5.0)
badger,0.2.5,Github (GuangchuangYu/badger@6ef6fb44a5f7bca545d3b00cbef8011c68c5c424)
base64enc,0.1-3,CRAN (R 4.5.0)
bayestestR,0.17.0,CRAN (R 4.5.0)
BH,1.87.0-1,CRAN (R 4.5.0)
bigD,0.3.1,CRAN (R 4.5.0)
biglm,0.9-3,CRAN (R 4.5.0)
bigmemory,4.6.4,CRAN (R 4.5.0)
bigmemory.sri,0.1.8,CRAN (R 4.5.0)
binom,1.1-1.1,CRAN (R 4.5.0)
BiocManager,1.30.26,CRAN (R 4.5.0)
bit,4.6.0,CRAN (R 4.5.0)
bit64,4.6.0-1,CRAN (R 4.5.0)
bitops,1.0-9,CRAN (R 4.5.0)
bizdays,1.0.17,CRAN (R 4.5.0)
blob,1.2.4,CRAN (R 4.5.0)
BMisc,1.4.8,CRAN (R 4.5.0)
bookdown,0.45,CRAN (R 4.5.0)
boot,1.3-32,CRAN (R 4.5.0)
brew,1.0-10,CRAN (R 4.5.0)
brio,1.1.5,CRAN (R 4.5.0)
broman,0.90,CRAN (R 4.5.0)
broom,1.0.10,CRAN (R 4.5.0)
broom.helpers,1.22.0,CRAN (R 4.5.0)
broom.mixed,0.2.9.6,CRAN (R 4.5.0)
bslib,0.9.0,CRAN (R 4.5.0)
cachem,1.1.0,CRAN (R 4.5.0)
callr,3.7.6,CRAN (R 4.5.0)
car,3.1-3,CRAN (R 4.5.0)
carData,3.0-5,CRAN (R 4.5.0)
cards,0.7.1.9000,Github (insightsengineering/cards@a4f36ce01bd12ca77b7c071eddc9ae2f05c113ea)
cardx,0.3.0.9007,Github (insightsengineering/cardx@f6ac31c525eedf307f2cc514e47a719df100980d)
caret,7.0-1,CRAN (R 4.5.0)
caTools,1.18.3,CRAN (R 4.5.0)
cellranger,1.1.0,CRAN (R 4.5.0)
changepoint,2.3,CRAN (R 4.5.0)
checkmate,2.3.3,CRAN (R 4.5.0)
chk,0.10.0,CRAN (R 4.5.0)
chromote,0.5.1,CRAN (R 4.5.0)
ciTools,0.6.1,CRAN (R 4.5.0)
class,7.3-23,CRAN (R 4.5.1)
cli,3.6.5,CRAN (R 4.5.0)
clipr,0.8.0,CRAN (R 4.5.0)
clock,0.7.3,CRAN (R 4.5.0)
cluster,2.1.8.1,CRAN (R 4.5.1)
cmprsk,2.2-12,CRAN (R 4.5.0)
coda,0.19-4.1,CRAN (R 4.5.0)
codetools,0.2-20,CRAN (R 4.5.1)
codingMatrices,0.4.0,CRAN (R 4.5.0)
collections,0.3.9,CRAN (R 4.5.0)
colorblindcheck,1.0.4,CRAN (R 4.5.0)
colorspace,2.1-2,CRAN (R 4.5.0)
commonmark,2.0.0,CRAN (R 4.5.0)
config,0.3.2,CRAN (R 4.5.0)
conflicted,1.2.0,CRAN (R 4.5.0)
constructive,1.3.0,CRAN (R 4.5.0)
corpcor,1.6.10,CRAN (R 4.5.0)
correlation,0.8.8,CRAN (R 4.5.0)
corrplot,0.95,CRAN (R 4.5.0)
covr,3.6.4,CRAN (R 4.5.0)
cowplot,1.2.0.9000,Github (wilkelab/cowplot@b18d820d3af26b749235c4e4bc18bf416fba88e1)
cpp11,0.5.2.9000,Github (r-lib/cpp11@05c888b0c6f49e7b252b79b028e4719e6d5b299d)
crayon,1.5.3,CRAN (R 4.5.0)
credentials,2.0.3,CRAN (R 4.5.0)
crosstalk,1.2.2,CRAN (R 4.5.0)
crul,1.6.0,CRAN (R 4.5.0)
curl,7.0.0,CRAN (R 4.5.0)
cvar,0.5,CRAN (R 4.5.0)
cvTools,0.3.3,CRAN (R 4.5.0)
data.table,1.17.8,CRAN (R 4.5.0)
datawizard,1.3.0,CRAN (R 4.5.0)
DBI,1.2.3,CRAN (R 4.5.0)
dbplyr,2.5.1,CRAN (R 4.5.0)
DEoptimR,1.1-4,CRAN (R 4.5.0)
Deriv,4.2.0,CRAN (R 4.5.0)
desc,1.4.3,CRAN (R 4.5.0)
DescTools,0.99.60,CRAN (R 4.5.0)
devtag,0.0.0.9000,Github (moodymudskipper/devtag@24f9b210037169631662cfc66768ea99ab6f7e5b)
devtools,2.4.6,CRAN (R 4.5.0)
diagram,1.6.5,CRAN (R 4.5.0)
did,2.1.2,CRAN (R 4.5.0)
diffobj,0.3.6,CRAN (R 4.5.0)
diffviewer,0.1.2,CRAN (R 4.5.0)
digest,0.6.39,CRAN (R 4.5.2)
dlstats,0.1.7,CRAN (R 4.5.0)
dobson,0.4,CRAN (R 4.5.0)
doBy,4.7.0,CRAN (R 4.5.0)
doconv,0.3.3,CRAN (R 4.5.0)
doParallel,1.0.17,CRAN (R 4.5.0)
downlit,0.4.4,CRAN (R 4.5.0)
dplyr,1.1.4,CRAN (R 4.5.0)
DRDID,1.2.2,CRAN (R 4.5.0)
DT,0.34.0,CRAN (R 4.5.0)
