package,ondiskversion,source
abind,1.4-8,CRAN (R 4.5.0)
and,0.1.6,CRAN (R 4.5.0)
aod,1.3.3,CRAN (R 4.5.1)
aplore3,0.9,CRAN (R 4.5.1)
arm,1.14-4,CRAN (R 4.5.1)
arpr,0.1.2,CRAN (R 4.5.1)
arsenal,3.6.3,CRAN (R 4.5.1)
AsioHeaders,1.30.2-1,CRAN (R 4.5.0)
askpass,1.2.1,CRAN (R 4.5.0)
assertthat,0.2.1,CRAN (R 4.5.0)
attempt,0.3.1,CRAN (R 4.5.0)
backports,1.5.0,CRAN (R 4.5.0)
base64enc,0.1-3,CRAN (R 4.5.0)
bayestestR,0.16.1,CRAN (R 4.5.1)
beeswarm,0.4.0,CRAN (R 4.5.0)
bigD,0.3.1,CRAN (R 4.5.0)
binom,1.1-1.1,CRAN (R 4.5.1)
bit,4.6.0,CRAN (R 4.5.0)
bit64,4.6.0-1,CRAN (R 4.5.0)
bitops,1.0-9,CRAN (R 4.5.0)
blob,1.2.4,CRAN (R 4.5.0)
bookdown,0.43,CRAN (R 4.5.0)
boot,1.3-31,CRAN (R 4.5.1)
brew,1.0-10,CRAN (R 4.5.0)
brio,1.1.5,CRAN (R 4.5.0)
broman,0.86,CRAN (R 4.5.1)
broom,1.0.9,CRAN (R 4.5.1)
broom.helpers,1.21.0,CRAN (R 4.5.1)
broom.mixed,0.2.9.6,CRAN (R 4.5.1)
bslib,0.9.0,CRAN (R 4.5.0)
cachem,1.1.0,CRAN (R 4.5.0)
callr,3.7.6,CRAN (R 4.5.0)
car,3.1-3,CRAN (R 4.5.0)
carData,3.0-5,CRAN (R 4.5.0)
cards,0.6.1.9015,Github (insightsengineering/cards@004c54ca1d8b8bc5a3a6e5581703740d6e54d002)
cardx,0.2.5.9001,Github (insightsengineering/cardx@81d22d9e98ca2cf9bb18f015a15dcbebf1888aee)
caTools,1.18.3,CRAN (R 4.5.1)
cellranger,1.1.0,CRAN (R 4.5.0)
